/home/andersoney/algoritmotcc

Criando cenário
automatic_260_36.world
Stage 4.3.0 [GUI disabled]
 [Loading worlds/automatic_260_36.world][Include map.inc][Include sick.inc][Include pioneer.inc]
Destroyed robot184!
Destroyed robot213!
Destroyed robot5!
Destroyed robot21!
Destroyed robot77!
Destroyed robot94!
Destroyed robot194!
Destroyed robot209!
Destroyed robot28!
Destroyed robot57!
Destroyed robot53!
Destroyed robot88!
Destroyed robot151!
Destroyed robot90!
Destroyed robot74!
Destroyed robot24!
Destroyed robot220!
Destroyed robot187!
Destroyed robot47!
Destroyed robot258!
Destroyed robot1!
Destroyed robot134!
Destroyed robot197!
Destroyed robot143!
Destroyed robot245!
Destroyed robot195!
Destroyed robot54!
Destroyed robot95!
Destroyed robot9!
Destroyed robot167!
Destroyed robot158!
Destroyed robot155!
Destroyed robot137!
Destroyed robot109!
Destroyed robot105!
Destroyed robot65!
Destroyed robot247!
Destroyed robot168!
Destroyed robot131!
Destroyed robot16!
Destroyed robot130!
Destroyed robot19!
Destroyed robot222!
Destroyed robot232!
Destroyed robot178!
Destroyed robot173!
Destroyed robot216!
Destroyed robot237!
Destroyed robot198!
Destroyed robot114!
Destroyed robot121!
Destroyed robot138!
Destroyed robot132!
Destroyed robot40!
Destroyed robot8!
Destroyed robot205!
Destroyed robot259!
Destroyed robot81!
Destroyed robot63!
Destroyed robot119!
Destroyed robot69!
Destroyed robot17!
Destroyed robot191!
Destroyed robot228!
Destroyed robot98!
Destroyed robot103!
Destroyed robot231!
Destroyed robot36!
Destroyed robot87!
Destroyed robot6!
Destroyed robot215!
Destroyed robot82!
Destroyed robot116!
Destroyed robot50!
Destroyed robot33!
Destroyed robot70!
Destroyed robot110!
Destroyed robot78!
Destroyed robot162!
Destroyed robot152!
Destroyed robot72!
Destroyed robot199!
Destroyed robot26!
Destroyed robot135!
Destroyed robot117!
Destroyed robot10!
Destroyed robot256!
Destroyed robot227!
Destroyed robot115!
Destroyed robot128!
Destroyed robot49!
Destroyed robot43!
Destroyed robot254!
Destroyed robot214!
Destroyed robot139!
Destroyed robot223!
Destroyed robot127!
Destroyed robot120!
Destroyed robot170!
Destroyed robot125!
Destroyed robot182!
Destroyed robot68!
Destroyed robot149!
Destroyed robot188!
Destroyed robot147!
Destroyed robot60!
Destroyed robot148!
Destroyed robot100!
Destroyed robot35!
Destroyed robot118!
Destroyed robot207!
Destroyed robot249!
Destroyed robot96!
Destroyed robot59!
Destroyed robot108!
Destroyed robot211!
Destroyed robot212!
Destroyed robot102!
Destroyed robot224!
Destroyed robot240!
Destroyed robot30!
Destroyed robot203!
Destroyed robot18!
Destroyed robot172!
Destroyed robot84!
Destroyed robot145!
Destroyed robot14!
Destroyed robot160!
Destroyed robot41!
Destroyed robot93!
Destroyed robot165!
Destroyed robot67!
Destroyed robot11!
Destroyed robot7!
Destroyed robot111!
Destroyed robot208!
Destroyed robot123!
Destroyed robot25!
Destroyed robot129!
Destroyed robot66!
Destroyed robot241!
Destroyed robot154!
Destroyed robot71!
Destroyed robot0!
Destroyed robot86!
Destroyed robot20!
Destroyed robot62!
Destroyed robot23!
Destroyed robot104!
Destroyed robot257!
Destroyed robot235!
Destroyed robot163!
Destroyed robot140!
Destroyed robot75!
Destroyed robot166!
Destroyed robot42!
Destroyed robot22!
Destroyed robot156!
Destroyed robot32!
Destroyed robot219!
Destroyed robot202!
Destroyed robot190!
Destroyed robot238!
Destroyed robot217!
Destroyed robot251!
Destroyed robot196!
Destroyed robot186!
Destroyed robot76!
Destroyed robot181!
Destroyed robot253!
Destroyed robot230!
Destroyed robot159!
Destroyed robot218!
Destroyed robot141!
Destroyed robot233!
Destroyed robot236!
Destroyed robot55!
Destroyed robot15!
Destroyed robot177!
Destroyed robot221!
Destroyed robot45!
Destroyed robot113!
Destroyed robot73!
Destroyed robot48!
Destroyed robot97!
Destroyed robot144!
Destroyed robot255!
Destroyed robot189!
Destroyed robot206!
Destroyed robot107!
Destroyed robot29!
Destroyed robot174!
Destroyed robot169!
Destroyed robot12!
Destroyed robot122!
Destroyed robot157!
Destroyed robot244!
Destroyed robot85!
Destroyed robot225!
Destroyed robot176!
Destroyed robot27!
Destroyed robot200!
Destroyed robot2!
Destroyed robot31!
Destroyed robot38!
Destroyed robot61!
Destroyed robot183!
Destroyed robot101!
Destroyed robot126!
Destroyed robot192!
Destroyed robot64!
Destroyed robot210!
Destroyed robot243!
Destroyed robot142!
Destroyed robot52!
Destroyed robot171!
Destroyed robot175!
Destroyed robot4!
Destroyed robot3!
Destroyed robot252!
Destroyed robot248!
Destroyed robot79!
Destroyed robot229!
Destroyed robot250!
Destroyed robot204!
Destroyed robot193!
Destroyed robot58!
Destroyed robot246!
Destroyed robot89!
Destroyed robot91!
Destroyed robot201!
Destroyed robot242!
Destroyed robot13!
Destroyed robot179!
Destroyed robot34!
Destroyed robot226!
Destroyed robot185!
Destroyed robot39!
Destroyed robot112!
Destroyed robot146!
Destroyed robot106!
Destroyed robot150!
Destroyed robot37!
Destroyed robot92!
Destroyed robot51!
Destroyed robot44!
Destroyed robot99!
Destroyed robot56!
Destroyed robot180!
Destroyed robot239!
Destroyed robot161!
Destroyed robot136!
Destroyed robot153!
Destroyed robot80!
Destroyed robot234!
Destroyed robot133!
Destroyed robot124!
Destroyed robot46!
Destroyed robot164!
